EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1239.09	200.0	0.000601779	-0.991922	0.00139297299636	-1.55545666204	2600
-1486.49	200.0	0.000461355	-0.990644	-0.956668258612	-0.947314800779	5200
-1316.08	200.0	0.00181643	-0.989578	-1.67075072095	-1.87543470037	7800
-1161.89	200.0	0.000820598	-0.989235	-2.94460262307	-2.31627001927	10400
-1189.79	200.0	0.00337079	-0.989853	-2.53084639705	-2.28601650495	13000
-1212.54	200.0	0.00509239	-0.990242	-2.39156223133	-2.28338781939	15600
-1258.34	200.0	0.000323332	-0.990356	-2.85224094414	-2.84723059823	18200
-1144.57	200.0	0.000525857	-0.990672	-3.00700777444	-2.2144971569	20800
-1218.38	200.0	0.00127417	-0.991393	-2.11196617314	-2.47798676684	23400
-1262.97	200.0	0.00138712	-0.992535	-2.35621345393	-2.47320529713	26000
-1143.95	200.0	0.00344433	-0.993504	-2.77718908696	-2.43551816303	28600
-1163.98	200.0	0.00111933	-0.994385	-1.92969459856	-2.26239389948	31200
-1089.15	200.0	0.0012827	-0.995685	-1.97880064535	-1.82769077935	33800
-1154.03	200.0	0.00107057	-0.996388	-1.69960420775	-2.15114683963	36400
-1080.32	200.0	0.000893078	-0.996562	-2.21545784023	-2.05257466806	39000
-1341.32	200.0	0.00129386	-0.99668	-1.90933060377	-2.12289410794	41600
-1135.05	200.0	0.00186543	-0.996076	-3.39658929598	-2.23595227699	44200
-1341.18	200.0	0.000808922	-0.994659	-1.44086727634	-2.20763137315	46800
-1257.46	200.0	0.00356047	-0.993795	-2.49377344957	-2.2779034602	49400
-1185.99	200.0	0.00881839	-0.99372	-2.59358458133	-1.94860500715	52000
-1262.39	200.0	0.00190968	-0.994252	-2.81542703254	-2.57658469105	54600
-1343.93	200.0	0.00150645	-0.994717	-2.50841760343	-2.83919649307	57200
-1284.1	200.0	0.00107739	-0.99492	-2.86660463025	-2.60919367692	59800
-1295.31	200.0	0.00196857	-0.995694	-1.64777178006	-2.01007420495	62400
-1267.96	200.0	0.00144245	-0.995184	-2.33739646156	-2.40069061641	65000
-1141.18	200.0	0.00101759	-0.994816	-3.01628684698	-2.14283802097	67600
-1299.52	200.0	0.00151049	-0.995473	-1.88007488966	-2.38893734635	70200
-1346.33	200.0	0.000451902	-0.997756	-0.965449939328	-1.46842578038	72800
-1264.13	200.0	0.00412957	-1.00037	-2.70858633103	-2.54891541798	75400
-1323.03	200.0	0.00105673	-1.00304	-1.80437194265	-2.01700673815	78000
-1485.77	200.0	0.00139375	-1.00505	-0.920928907091	-0.421782468587	80600
-1504.63	200.0	0.000650546	-1.00662	-0.245366610102	-0.37594187435	83200
-1396.28	200.0	0.00237944	-1.00939	-0.560242480218	-1.0715625424	85800
-1512.46	200.0	0.00118068	-1.01045	-0.496275206578	-0.155703095138	88400
-1539.77	200.0	0.00103991	-1.0129	-0.162438627916	-0.312924869444	91000
-1543.28	200.0	0.000751815	-1.01396	-0.153194005167	-0.132882566897	93600
-1519.99	200.0	0.00145515	-1.0173	-0.198777695804	-0.373973042448	96200
-1601.79	200.0	0.00150951	-1.01868	-0.198607673859	-0.0441341934417	98800
-1595.35	200.0	0.00192399	-1.02048	-0.0458986339529	-0.161678425485	101400
-1605.52	200.0	0.0013273	-1.02256	-0.195513804634	-0.219859103511	104000
-1593.5	200.0	0.00113083	-1.02458	-0.209701685621	-0.16539330297	106600
-1595.21	200.0	0.00132642	-1.02873	-0.185025996612	-0.214213523915	109200
-1615.14	200.0	0.00106981	-1.03371	-0.223249187322	-0.176411278926	111800
-1692.44	200.0	0.000464988	-1.04079	-0.0687219960469	-0.0161567543851	114400
-1571.79	200.0	0.000926635	-1.04804	-0.0124963765851	-0.645459449731	117000
-1625.97	200.0	0.00483718	-1.05855	-0.574996647806	-0.0941648423862	119600
-1454.04	200.0	0.00688865	-1.06764	-0.254391592336	-1.60359877266	122200
-1423.17	200.0	0.00293535	-1.07268	-1.84581784747	-1.0795692028	124800
-1377.36	200.0	9.76503e-05	-1.07685	-2.22800292743	-2.13292666443	127400
-1289.83	200.0	0.0302166	-1.08573	-4.1398169996	-2.68054139432	130000
-1367.27	200.0	0.00366056	-1.08879	-1.16328130133	-1.43484671758	132600
-1494.78	200.0	0.000991471	-1.09174	-0.448178357533	-0.153842637364	135200
-1531.34	200.0	0.00125728	-1.09737	-0.12279362835	-0.234974431609	137800
-1477.4	200.0	0.000447423	-1.10176	-0.330760623348	-0.583894333869	140400
-1511.61	200.0	0.00245277	-1.11323	-0.38778414728	-0.198326454227	143000
-1551.63	200.0	0.00330358	-1.12679	-0.139559359474	-0.0918440750317	145600
-1623.18	200.0	0.00173079	-1.1358	-0.049503493706	-0.024482771819	148200
-1644.59	200.0	0.0029681	-1.14374	-0.0321004174635	-0.0658894631143	150800
-1628.26	200.0	0.00390522	-1.14645	-0.0319386500136	-0.0372014852744	153400
-1662.01	200.0	0.00150093	-1.14806	-0.0460615165294	-0.082475877555	156000
-1608.61	200.0	0.00276709	-1.15022	-0.1361666157	-0.350448082533	158600
-1655.16	200.0	0.00439085	-1.15169	-0.350090830147	-0.0624936954434	161200
-1634.53	200.0	0.00345858	-1.15328	-0.040259681727	-0.0562404292364	163800
-1674.81	200.0	0.0067951	-1.15921	-0.0545528861769	-0.0338928293979	166400
-1629.66	200.0	0.00225632	-1.16507	-0.0476608380373	-0.173701248757	169000
-1631.98	200.0	0.00336685	-1.17077	-0.179639327114	-0.125537692124	171600
-1626.06	200.0	0.00290661	-1.1771	-0.0552186260566	-0.0406955147006	174200
-1603.58	200.0	0.00345614	-1.18268	-0.0779791107882	-0.134169952058	176800
-1574.46	200.0	0.00515076	-1.18526	-0.144693660116	-0.26908318854	179400
-1582.02	200.0	0.00205096	-1.18639	-0.29525577436	-0.184354261638	182000
-1592.44	200.0	0.00238999	-1.18741	-0.0263109489029	0.0135422156089	184600
-1545.48	200.0	0.00231471	-1.18716	0.00776290806861	-0.233100497086	187200
-1572.22	200.0	0.00324668	-1.18651	-0.144161743036	0.00667960973317	189800
-1567.93	200.0	0.00254378	-1.18347	-0.00987478455798	-0.116376301308	192400
-1558.62	200.0	0.00352809	-1.17968	-0.115888758929	-0.0970653971101	195000
