EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1431.91	200.0	5.99009e-05	-0.993647	-0.000573874196903	-1.8604139556	2600
-1291.6	200.0	0.000321396	-0.993318	-2.01907595957	-1.06474290433	5200
-1290.53	200.0	0.000792989	-0.99248	-1.52572294545	-1.64397269151	7800
-1390.95	200.0	0.00187445	-0.991613	-1.27504415049	-1.17887925271	10400
-1361.32	200.0	0.00120703	-0.990076	-0.954037097002	-1.22935194855	13000
-1372.99	200.0	0.000537901	-0.988106	-1.09386656943	-0.905375224492	15600
-1457.79	200.0	0.00149016	-0.985831	-0.72965798593	-0.607815027692	18200
-1409.01	200.0	0.00132628	-0.982906	-0.539446335936	-0.737611006712	20800
-1370.62	200.0	0.00043091	-0.980542	-1.17462170089	-0.904907081776	23400
-1390.93	200.0	5.87853e-05	-0.977349	-0.946550692579	-1.12236204993	26000
-1520.73	200.0	0.000927382	-0.971435	-0.470400491719	-0.395741784141	28600
-1537.17	200.0	0.000181673	-0.96247	-0.356719624297	-0.317167108985	31200
-1411.06	200.0	0.00521205	-0.955754	-0.704206591475	-1.25167782633	33800
-1323.36	200.0	0.00735563	-0.955558	-1.29138060669	-1.13108734178	36400
-1393.5	200.0	0.00135784	-0.955951	-1.40120525859	-1.33607119905	39000
-1397.86	200.0	0.00394645	-0.956095	-1.41984971442	-1.30475694769	41600
-1266.53	200.0	0.0107626	-0.955898	-1.51830108955	-1.70073224613	44200
-1157.78	200.0	0.00251116	-0.955836	-3.19996890919	-2.10868619873	46800
-1100.74	200.0	0.0104612	-0.955978	-2.01706277546	-1.82726785241	49400
-1234.01	200.0	0.00302571	-0.955834	-2.31572158162	-2.389145452	52000
-1330.84	200.0	0.000205712	-0.955713	-2.29348967936	-2.39277658817	54600
-1231.63	200.0	0.00120552	-0.955789	-3.14178241868	-2.9096863631	57200
-1249.19	200.0	0.00111988	-0.956188	-2.57387890259	-2.60024699225	59800
-1328.5	200.0	0.000390825	-0.956326	-2.39191604924	-2.55173371786	62400
-1224.82	200.0	0.000229973	-0.956889	-3.41484148142	-2.73174779899	65000
-1342.57	200.0	0.00122653	-0.958518	-2.27292049279	-2.74468592842	67600
-1261.05	200.0	0.00175518	-0.958725	-2.98769589422	-2.34109328835	70200
-1310.12	200.0	0.00225096	-0.95975	-2.27522845695	-2.50503654715	72800
-1178.0	200.0	0.0278863	-0.960094	-2.56544721132	-2.29270010704	75400
-1311.74	200.0	0.00336363	-0.959989	-1.36582922701	-2.10653925275	78000
-1152.49	200.0	0.00140458	-0.959223	-2.53054638027	-1.87530133638	80600
-1232.2	200.0	0.000755007	-0.95945	-1.25232297496	-1.26095003914	83200
-1265.56	200.0	0.001256	-0.9592	-1.14980451208	-1.69889480778	85800
-1298.62	200.0	0.00069929	-0.958763	-1.35842243735	-1.41172521729	88400
-1281.5	200.0	0.00133921	-0.96069	-1.36914588831	-1.18913349251	91000
-1295.43	200.0	0.00507486	-0.967581	-1.12148992336	-0.953643525584	93600
-1243.93	200.0	0.00742071	-0.974244	-1.4265560708	-1.41638804635	96200
-1077.2	200.0	0.0110945	-0.975745	-2.8475538211	-2.02365021542	98800
-1189.53	200.0	0.00742976	-0.976429	-2.46300950761	-2.61124821161	101400
-1166.35	200.0	0.000748623	-0.97675	-2.5914807336	-2.25031698193	104000
-1213.69	200.0	0.00325724	-0.977091	-2.66653304694	-2.9516566357	106600
-1218.63	200.0	0.00326942	-0.978142	-2.25577296352	-1.99404630828	109200
-1285.92	200.0	0.00172755	-0.977601	-2.38219244535	-2.72769682677	111800
-1274.07	200.0	0.00432843	-0.976435	-2.63596059447	-2.50206820253	114400
-1277.76	200.0	0.000181471	-0.975844	-2.78054296238	-2.78494279529	117000
-1270.54	200.0	0.00120873	-0.975356	-2.1875130585	-2.18535619448	119600
-1305.09	200.0	0.000160665	-0.97503	-2.54563650927	-2.68003209596	122200
-1289.43	200.0	0.00748742	-0.974649	-2.1296698185	-2.1385893262	124800
-1257.43	200.0	0.00155902	-0.974701	-2.35815459658	-2.27508967947	127400
-1240.12	200.0	0.00335446	-0.976068	-2.37893565765	-2.37492760761	130000
-1147.45	200.0	0.00383885	-0.976778	-1.88238787905	-1.80216345863	132600
-1187.81	200.0	0.0055407	-0.977931	-2.15100531878	-2.35571705031	135200
-1197.8	200.0	0.00170919	-0.978332	-2.58002550774	-2.64165331858	137800
-1135.23	200.0	0.0018505	-0.978581	-2.02022530388	-2.10163517491	140400
-1118.37	200.0	0.00284	-0.978905	-1.94182100209	-2.01370272232	143000
-1149.59	200.0	0.00405456	-0.978897	-1.82228430173	-2.09702613196	145600
-1147.07	200.0	0.000364244	-0.979339	-0.988701456627	-1.15093495337	148200
-1179.42	200.0	0.000451306	-0.980236	-1.81179179115	-1.98944093108	150800
-1167.38	200.0	0.000695925	-0.980161	-1.60010812965	-1.57658521701	153400
-1177.87	200.0	0.00118055	-0.979867	-1.37867408916	-1.77013629687	156000
-1241.23	200.0	0.00161682	-0.979594	-1.6168743935	-1.46982495054	158600
-1119.89	200.0	0.00269363	-0.980202	-1.86711265884	-1.57563250354	161200
-1069.46	200.0	0.00191412	-0.983168	-1.92502966508	-1.64354037054	163800
-1192.84	200.0	0.000372055	-0.986237	-1.31711285645	-1.47145629747	166400
-996.726	200.0	0.00501891	-0.988125	-2.14874680088	-1.38708897454	169000
-1005.13	200.0	0.00179458	-0.991631	-1.38445064722	-1.42222981585	171600
-1071.09	200.0	0.000638885	-0.996054	-2.02892502101	-2.14001523775	174200
-1041.95	200.0	0.00418754	-1.00148	-1.87405438001	-1.66828651471	176800
-1016.73	200.0	0.000782847	-1.00367	-2.20492965918	-2.3091965304	179400
-1115.8	200.0	0.00821829	-1.00695	-1.42568447275	-1.71920456363	182000
-954.889	200.0	0.00171157	-1.0073	-1.92532529229	-1.641901986	184600
-1146.16	200.0	0.0019581	-1.00823	-1.08795097356	-2.09128303045	187200
-1146.61	200.0	0.00239794	-1.0094	-2.09742659666	-2.14053763305	189800
-1345.96	200.0	0.00125262	-1.01197	-1.23816924732	-1.53478840598	192400
-1248.71	200.0	0.00163513	-1.016	-1.34057628744	-1.08676441383	195000
-1302.25	200.0	0.00278135	-1.01842	-1.11150158131	-0.868142743572	197600
-1365.83	200.0	0.0016902	-1.02158	-0.53227526062	-0.462196742862	200200
-1448.44	200.0	0.000699091	-1.02402	-0.333471795012	-0.22002737425	202800
-1421.49	200.0	0.00182883	-1.02593	-0.154374356786	-0.285290253667	205400
-1449.27	200.0	0.00064462	-1.02804	-0.404764427743	-0.363241025118	208000
-1480.16	200.0	5.44871e-05	-1.02976	-0.266549269486	-0.2463727596	210600
-1456.03	200.0	0.000179905	-1.0296	-0.198814235613	-0.288813330584	213200
-1521.01	200.0	0.00229112	-1.02608	-0.316992179359	-0.227285825106	215800
-1427.87	200.0	0.00344204	-1.01806	-0.300907408195	-0.500342612295	218400
-1382.48	200.0	0.00164306	-1.01424	-0.547194653151	-0.490504066093	221000
-1212.98	200.0	0.00633249	-1.00083	-0.733601516491	-0.984535417262	223600
-1258.4	200.0	0.0120517	-0.991979	-1.54208912942	-1.13633856541	226200
-1196.98	200.0	0.0197397	-0.9867	-1.52205852301	-1.31594838028	228800
-985.699	200.0	0.0125777	-0.982712	-2.12809007472	-1.34864357781	231400
-1030.12	200.0	0.00191319	-0.981578	-2.27624026921	-2.02753535361	234000
-1111.53	200.0	0.00485226	-0.981604	-1.92565306412	-2.09695307343	236600
-1076.89	200.0	0.000290756	-0.981733	-2.07836879531	-2.06211918481	239200
-1149.58	200.0	8.04702e-05	-0.981252	-1.91518713156	-2.31262259465	241800
-1120.85	200.0	0.0186099	-0.981144	-2.30460204187	-2.3643538036	244400
-1039.25	200.0	0.00727457	-0.981164	-1.81858111384	-1.63808323801	247000
-1024.05	200.0	0.00315495	-0.981663	-1.42598239649	-1.6555090795	249600
-1042.91	200.0	0.00187945	-0.982039	-1.58206332878	-1.77077433144	252200
-1074.01	200.0	0.00167681	-0.982879	-1.47813489092	-1.8842650899	254800
-1096.55	200.0	0.00101202	-0.982638	-1.75294729131	-1.9020709315	257400
-1126.55	200.0	6.62491e-05	-0.982867	-1.85618416043	-1.99208343502	260000
-1118.54	200.0	7.25656e-05	-0.985099	-1.791737905	-1.80097641564	262600
-1052.26	200.0	0.0013901	-0.988447	-2.50362537053	-2.09033935199	265200
-1065.63	200.0	0.00497587	-0.991787	-2.09337135975	-2.04589299968	267800
-1132.66	200.0	0.00285524	-0.991637	-1.57514264871	-1.47769789182	270400
-1027.26	200.0	0.000857747	-0.991587	-2.25367878861	-1.76457498878	273000
-1000.62	200.0	0.00194382	-0.991663	-2.20412222463	-1.86846269123	275600
-1043.55	200.0	0.000596645	-0.987374	-1.49575697769	-1.64837717128	278200
-993.246	200.0	0.00406814	-0.982458	-1.6982621195	-1.65463287285	280800
-973.264	200.0	0.000689873	-0.979902	-1.34657431838	-1.39894994474	283400
-975.434	200.0	0.00276443	-0.978808	-1.29150299933	-1.51072792881	286000
-1015.77	200.0	0.00321121	-0.979381	-1.54796505717	-1.57075818781	288600
-989.693	200.0	0.00261973	-0.98102	-1.42342151276	-1.51638170106	291200
-973.14	200.0	0.00374069	-0.982209	-1.48318350974	-1.41088770585	293800
-995.872	200.0	0.0148719	-0.981691	-2.02438915014	-1.80453559847	296400
-1062.87	200.0	0.0247869	-0.981932	-2.64535022055	-2.20211799867	299000
-1240.7	200.0	0.00123989	-0.981538	-1.93669289164	-2.134947485	301600
-1170.47	200.0	0.000403466	-0.982494	-1.17623161388	-0.97329670331	304200
-1196.28	200.0	0.00382587	-0.982494	-1.41773042451	-1.53561062048	306800
-1178.31	200.0	0.00711915	-0.980698	-2.01719278804	-2.07550062485	309400
-1123.99	200.0	0.00832497	-0.978581	-2.72857674846	-2.7391444795	312000
-1064.97	200.0	0.00458928	-0.977295	-1.35580232115	-1.34910641345	314600
-1047.52	200.0	0.000983278	-0.976871	-1.44771173456	-1.51726500481	317200
-951.35	200.0	0.00127029	-0.976805	-1.51570590848	-1.38937703841	319800
-890.889	200.0	0.000726829	-0.977083	-1.31566773905	-1.41939994541	322400
-931.275	200.0	0.00273589	-0.978593	-1.42944100113	-1.61589431321	325000
-976.139	200.0	0.00161441	-0.978745	-1.19779932158	-1.50975054227	327600
-951.408	200.0	0.00118368	-0.979564	-1.65190037289	-1.53582745568	330200
-984.003	200.0	0.00275304	-0.980937	-1.58776533008	-1.70925943133	332800
-851.956	200.0	0.00498849	-0.981603	-2.43301877679	-1.48892139081	335400
-1018.76	200.0	0.00413577	-0.982006	-1.6320613101	-1.78689738254	338000
-992.155	200.0	0.000184647	-0.981995	-2.61544178309	-2.50329527252	340600
-1042.53	200.0	0.000642973	-0.982679	-2.05401755793	-2.16763109708	343200
-1057.15	200.0	0.00049578	-0.985023	-2.1343903688	-2.18859044063	345800
-1079.04	200.0	0.00689573	-0.989284	-2.93910509866	-2.71838443485	348400
-1010.3	200.0	0.00303146	-0.991585	-1.77486141312	-1.90785753095	351000
-962.831	200.0	0.00118847	-0.992173	-1.61402140245	-1.47118394609	353600
-891.708	200.0	0.00208157	-0.99338	-1.33808105833	-1.54167200464	356200
-925.646	200.0	0.00172957	-0.995199	-1.12479618998	-1.28432544534	358800
-844.857	200.0	0.00131385	-0.995898	-1.49930878823	-1.23579032559	361400
-907.301	200.0	0.00214283	-0.997409	-1.29368263985	-1.43309031122	364000
-716.677	200.0	0.00125537	-0.999004	-1.28832569798	-0.676097186662	366600
-728.89	200.0	0.00135961	-0.999963	-0.716731347761	-0.81257534613	369200
-927.03	200.0	0.00129605	-1.00193	-0.894741018273	-1.43300215336	371800
-885.352	200.0	0.00104521	-1.00251	-1.71950947478	-1.42211700228	374400
-841.177	200.0	0.00275961	-1.00315	-1.70218048499	-1.46015974715	377000
-865.758	200.0	0.00303896	-1.00431	-1.4020395772	-1.37044140224	379600
-934.624	200.0	0.00133676	-1.00582	-1.49485931704	-1.574503371	382200
-910.42	200.0	0.00446837	-1.00601	-1.42670957604	-1.4487246311	384800
-852.28	200.0	0.00173484	-1.00645	-1.1193800197	-1.22156988401	387400
-951.105	200.0	0.000572499	-1.00749	-1.10075825079	-1.27436233863	390000
-762.575	200.0	0.00116535	-1.00762	-1.56768997719	-0.984615946078	392600
-855.318	200.0	0.00112624	-1.00824	-0.738014343165	-0.97604777747	395200
-905.815	200.0	0.000979512	-1.00835	-1.16928305202	-1.48900278902	397800
-889.689	200.0	0.00213761	-1.01043	-1.38643668941	-1.3036729921	400400
-857.101	200.0	0.00121285	-1.01055	-1.37469516018	-1.25881239059	403000
-852.67	200.0	0.00222946	-1.01088	-1.14111102548	-1.19903503405	405600
-968.447	200.0	0.00238814	-1.01102	-1.19452623438	-1.42004799322	408200
-812.308	200.0	0.00301608	-1.00923	-1.39847576035	-0.870685409126	410800
-756.374	200.0	0.00138256	-1.00683	-1.16039065053	-1.02367706775	413400
-781.18	200.0	0.00262989	-1.00629	-0.944447063902	-1.01434354014	416000
-763.228	200.0	0.00144121	-1.00399	-0.981192264842	-0.903602719423	418600
-837.687	200.0	0.00262955	-1.00251	-1.05063230837	-1.23810896914	421200
-781.089	200.0	0.00176599	-0.999352	-1.53677341737	-1.38026036115	423800
-829.918	200.0	0.00113438	-0.993985	-1.11269474843	-1.28713265035	426400
-811.389	200.0	0.0028116	-0.989716	-1.14178333084	-1.07412651167	429000
-845.62	200.0	0.00522907	-0.985484	-1.39737970412	-1.57944478502	431600
-882.308	200.0	0.000935797	-0.982596	-1.82518877688	-1.527473949	434200
-910.72	200.0	0.00645696	-0.977378	-1.64945296788	-1.68395607122	436800
